Exercise,Set,Rep,Weight,Metric,Set RPE,Tags,Workout Start Time,Rest Time,Avg Velocity (m/s),Range of Motion (mm),Peak Velocity (m/s),Peak Velocity Location (%),Duration of rep (sec)
null,1,1,null,"kgs","","","29/12/2020, 14:39:40","00:00:00",0.66,415,1.24,197,0.631
null,1,2,null,"kgs","","","29/12/2020, 14:39:40","00:00:00",1.40,573,2.39,330,0.41
null,1,3,null,"kgs","","","29/12/2020, 14:39:40","00:00:00",1.24,716,1.94,351,0.58
null,1,4,null,"kgs","","","29/12/2020, 14:39:40","00:00:00",0.29,374,0.63,285,1.292
null,1,5,null,"kgs","","","29/12/2020, 14:39:40","00:00:00",0.31,256,0.66,166,0.828
null,1,6,null,"kgs","","","29/12/2020, 14:39:40","00:00:00",0.67,726,1.20,404,1.082
null,1,7,null,"kgs","","","29/12/2020, 14:39:40","00:00:00",0.24,1006,0.41,739,4.204
null,1,8,null,"kgs","","","29/12/2020, 14:39:40","00:00:00",0.25,970,0.74,719,3.828
"deadlift",1,1,"70","kgs","","conventional,low belt","30/12/2020, 12:53:09","00:00:00",0.63,562,1.61,362,0.896
"deadlift",2,1,"80","kgs","","conventional,low belt","30/12/2020, 12:53:09","00:01:29.2",0.50,569,1.41,428,1.14
"deadlift",3,1,"90","kgs","","conventional,low belt","30/12/2020, 12:53:09","00:01:59.1",0.49,566,1.26,419,1.147
"deadlift",4,1,"100","kgs","","conventional,low belt","30/12/2020, 12:53:09","00:01:24.4",0.64,562,1.24,426,0.873
"deadlift",5,1,"110","kgs","","conventional,straps,low belt","30/12/2020, 12:53:09","00:02:52.8",0.48,581,1.20,438,1.215
"deadlift",6,1,"120","kgs","","conventional,straps,low belt","30/12/2020, 12:53:09","00:01:20.5",0.55,562,1.07,427,1.023
"deadlift",7,1,"130","kgs","","conventional,straps,low belt","30/12/2020, 12:53:09","00:01:54.2",0.47,553,0.90,453,1.188
"deadlift",1,1,"140","kgs","","conventional,straps,low belt","30/12/2020, 13:06:04","00:00:00",0.21,543,0.71,458,2.524
"deadlift",2,1,"150","kgs","","conventional,straps,low belt","30/12/2020, 13:06:04","00:02:18.3",0.30,529,0.56,457,1.776
"deadlift",3,1,"160","kgs","","conventional,straps,low belt","30/12/2020, 13:06:04","00:07:42.7",0.15,522,0.44,453,3.38
"overhead press",1,1,"30","kgs","","clean","30/12/2020, 13:06:04","00:10:59.5",0.89,601,1.29,384,0.675
"overhead press",2,1,"35","kgs","","clean","30/12/2020, 13:06:04","00:01:15.8",0.84,616,1.12,290,0.733
"overhead press",3,1,"40","kgs","","clean","30/12/2020, 13:06:04","00:02:19.0",0.71,627,0.97,215,0.886
"overhead press",4,1,"45","kgs","","clean","30/12/2020, 13:06:04","00:02:52.2",0.55,623,0.82,168,1.127
"overhead press",5,1,"50","kgs","","clean","30/12/2020, 13:06:04","00:02:54.3",0.37,601,0.69,120,1.615
"overhead press",6,1,"55","kgs","","clean","30/12/2020, 13:06:04","00:03:34.5",0.22,573,0.58,92,2.552
"overhead press",7,1,"57,5","kgs","","clean,bug,rep split","30/12/2020, 13:06:04","00:05:03.9",0.21,305,0.57,91,1.439
"overhead press",7,2,"57,5","kgs","","clean,bug,rep split","30/12/2020, 13:06:04","00:05:03.9",0.07,294,0.17,182,4.229
"deadlift",1,1,"70","kgs","","conventional,straps,low belt","03/01/2021, 12:40:44","00:00:00",0.59,559,1.58,383,0.954
"deadlift",2,1,"80","kgs","","conventional,straps,low belt","03/01/2021, 12:40:44","00:01:03.0",0.50,545,1.36,391,1.086
"deadlift",3,1,"90","kgs","","conventional,straps,low belt","03/01/2021, 12:40:44","00:01:54.0",0.48,568,1.34,387,1.184
"deadlift",4,1,"100","kgs","","conventional,straps,low belt","03/01/2021, 12:40:44","00:01:51.4",0.50,559,1.21,397,1.112
"deadlift",5,1,"110","kgs","","conventional,straps,low belt","03/01/2021, 12:40:44","00:02:07.8",0.60,558,1.08,453,0.928
"deadlift",6,1,"120","kgs","","conventional,straps,low belt","03/01/2021, 12:40:44","00:01:37.4",0.35,550,0.99,449,1.562
"deadlift",7,1,"130","kgs","","conventional,straps,low belt","03/01/2021, 12:40:44","00:01:30.9",0.31,547,0.81,456,1.745
"deadlift",8,1,"140","kgs","","conventional,straps,low belt","03/01/2021, 12:40:44","00:03:15.3",0.39,525,0.73,448,1.363
"deadlift",9,1,"150","kgs","","conventional,straps,low belt","03/01/2021, 12:40:44","00:02:39.3",0.30,513,0.60,403,1.696
"deadlift",10,1,"160","kgs","","conventional,straps,low belt","03/01/2021, 12:40:44","00:02:53.7",0.24,502,0.43,408,2.125
"deadlift",11,1,"170","kgs","","conventional,straps,low belt","03/01/2021, 12:40:44","00:03:44.7",0.13,494,0.27,437,3.755
"deadlift",12,1,"140","kgs","","conventional,straps,low belt","03/01/2021, 12:40:44","00:03:52.7",0.23,522,0.66,409,2.22
"deadlift",12,2,"140","kgs","","conventional,straps,low belt","03/01/2021, 12:40:44","00:03:52.7",0.20,512,0.57,349,2.498
"deadlift",12,3,"140","kgs","","conventional,straps,low belt","03/01/2021, 12:40:44","00:03:52.7",0.10,502,0.49,352,4.745
"deadlift",13,1,"140","kgs","","conventional,straps,low belt","03/01/2021, 12:40:44","00:00:55.2",0.24,516,0.58,351,2.156
"deadlift",13,2,"140","kgs","","conventional,straps,low belt","03/01/2021, 12:40:44","00:00:55.2",0.21,509,0.53,397,2.417
"deadlift",14,1,"140","kgs","","conventional,straps,low belt","03/01/2021, 12:40:44","00:00:54.2",0.30,509,0.56,397,1.716
"deadlift",15,1,"140","kgs","","conventional,straps,low belt","03/01/2021, 12:40:44","00:00:54.4",0.27,509,0.53,393,1.882
"overhead press",1,1,"30","kgs","","clean","03/01/2021, 12:40:44","00:04:52.4",0.94,615,1.35,304,0.652
"overhead press",1,2,"30","kgs","","clean","03/01/2021, 12:40:44","00:04:52.4",0.95,630,1.39,294,0.665
"overhead press",1,3,"30","kgs","","clean","03/01/2021, 12:40:44","00:04:52.4",0.93,630,1.33,295,0.675
"overhead press",2,1,"35","kgs","","clean","03/01/2021, 12:40:44","00:02:04.1",0.89,632,1.19,299,0.713
"overhead press",2,2,"35","kgs","","clean","03/01/2021, 12:40:44","00:02:04.1",0.81,641,1.15,265,0.786
"overhead press",3,1,"40","kgs","","clean","03/01/2021, 12:40:44","00:01:28.8",0.74,630,1.01,179,0.853
"overhead press",4,1,"45","kgs","","clean","03/01/2021, 12:40:44","00:01:09.4",0.55,620,0.84,151,1.123
"overhead press",5,1,"50","kgs","","clean","03/01/2021, 12:40:44","00:01:36.8",0.45,597,0.72,130,1.335
"overhead press",6,1,"55","kgs","","clean","03/01/2021, 12:40:44","00:02:47.6",0.29,596,0.63,113,2.046
"overhead press",7,1,"57,5","kgs","","clean,bug,rep split","03/01/2021, 12:40:44","00:03:28.0",0.26,300,0.57,100,1.161
"overhead press",7,2,"57,5","kgs","","clean,bug,rep split","03/01/2021, 12:40:44","00:03:28.0",0.10,302,0.17,222,2.897
"overhead press",8,1,"45","kgs","","clean","03/01/2021, 12:40:44","00:04:34.1",0.46,606,0.75,149,1.316
"overhead press",8,2,"45","kgs","","clean","03/01/2021, 12:40:44","00:04:34.1",0.31,598,0.70,123,1.94
"overhead press",8,3,"45","kgs","","clean","03/01/2021, 12:40:44","00:04:34.1",0.31,619,0.65,125,1.984
"overhead press",9,1,"45","kgs","","clean","03/01/2021, 12:40:44","00:00:46.2",0.46,589,0.73,118,1.283
"overhead press",9,2,"45","kgs","","clean","03/01/2021, 12:40:44","00:00:46.2",0.35,615,0.68,132,1.772
"overhead press",10,1,"45","kgs","","clean","03/01/2021, 12:40:44","00:00:54.3",0.44,597,0.72,127,1.368
"overhead press",11,1,"45","kgs","","clean","03/01/2021, 12:40:44","00:01:25.4",0.45,601,0.75,141,1.335
null,1,1,null,"kgs",null,"","05/01/2021, 10:56:06","00:00:00",0.80,1153,1.66,519,1.449
"squat",1,1,"20","kgs","","high bar","05/01/2021, 10:56:06","00:01:04.5",1.13,663,1.99,410,0.589
"squat",1,2,"20","kgs","","high bar","05/01/2021, 10:56:06","00:01:04.5",1.24,698,2.08,467,0.561
"squat",1,3,"20","kgs","","high bar","05/01/2021, 10:56:06","00:01:04.5",1.20,717,2.07,450,0.597
"squat",2,1,"40","kgs","","high bar","05/01/2021, 10:56:06","00:02:11.1",1.07,656,1.71,472,0.615
"squat",2,2,"40","kgs","","high bar","05/01/2021, 10:56:06","00:02:11.1",1.07,675,1.65,463,0.632
"squat",2,3,"40","kgs","","high bar","05/01/2021, 10:56:06","00:02:11.1",1.06,673,1.66,489,0.635
"squat",3,1,"60","kgs","","high bar","05/01/2021, 10:56:06","00:02:02.7",0.92,653,1.52,507,0.71
"squat",3,2,"60","kgs","","high bar","05/01/2021, 10:56:06","00:02:02.7",0.85,669,1.33,547,0.787
"squat",3,3,"60","kgs","","high bar","05/01/2021, 10:56:06","00:02:02.7",0.86,664,1.39,539,0.769
"squat",4,1,"80","kgs","","high bar","05/01/2021, 10:56:06","00:01:16.6",0.72,640,1.21,531,0.888
"squat",4,2,"80","kgs","","high bar","05/01/2021, 10:56:06","00:01:16.6",0.74,685,1.26,576,0.93
"squat",4,3,"80","kgs","","high bar","05/01/2021, 10:56:06","00:01:16.6",0.70,673,1.23,565,0.958
"squat",5,1,"100","kgs","","high bar","05/01/2021, 10:56:06","00:01:38.0",0.56,659,1.14,567,1.181
"squat",6,1,"110","kgs","","high bar","05/01/2021, 10:56:06","00:01:33.3",0.46,662,1.07,578,1.425
"squat",7,1,"120","kgs","","high bar","05/01/2021, 10:56:06","00:03:23.8",0.38,660,1.02,581,1.75
"squat",8,1,"130","kgs","","high bar","05/01/2021, 10:56:06","00:02:31.0",0.23,645,0.84,578,2.841
"squat",9,1,"100","kgs","","high bar","05/01/2021, 10:56:06","00:05:58.3",0.52,660,1.12,557,1.278
"squat",9,2,"100","kgs","","high bar","05/01/2021, 10:56:06","00:05:58.3",0.48,652,0.90,566,1.349
"squat",9,3,"100","kgs","","high bar","05/01/2021, 10:56:06","00:05:58.3",0.43,673,0.81,582,1.555
"squat",9,4,"100","kgs","","high bar","05/01/2021, 10:56:06","00:05:58.3",0.39,660,0.77,571,1.694
"squat",9,5,"100","kgs","","high bar","05/01/2021, 10:56:06","00:05:58.3",0.35,658,0.63,587,1.888
"squat",9,6,"100","kgs","","high bar","05/01/2021, 10:56:06","00:05:58.3",0.33,673,0.79,597,2.058
"squat",10,1,"100","kgs","","high bar","05/01/2021, 10:56:06","00:00:56.7",0.35,513,0.84,423,1.482
"squat",10,2,"100","kgs","","high bar","05/01/2021, 10:56:06","00:00:56.7",0.39,657,0.79,584,1.704
"squat",10,3,"100","kgs","","high bar","05/01/2021, 10:56:06","00:00:56.7",0.33,647,0.65,575,1.941
"squat",11,1,"100","kgs","","high bar","05/01/2021, 10:56:06","00:00:51.3",0.38,647,0.96,568,1.726
"squat",11,2,"100","kgs","","high bar","05/01/2021, 10:56:06","00:00:51.3",0.35,647,0.90,576,1.87
"squat",12,1,"100","kgs","","high bar","05/01/2021, 10:56:06","00:00:56.6",0.35,670,0.92,601,1.913
null,1,1,null,"kgs",null,"","05/01/2021, 10:56:06","00:01:45.8",0.20,203,0.37,119,1.037
"bench press",1,1,"20","kgs","","wide grip","05/01/2021, 10:56:06","00:02:07.6",0.77,286,1.31,204,0.372
"bench press",1,2,"20","kgs","","wide grip","05/01/2021, 10:56:06","00:02:07.6",0.73,294,1.38,179,0.404
"bench press",1,3,"20","kgs","","wide grip","05/01/2021, 10:56:06","00:02:07.6",0.70,300,1.26,209,0.427
"bench press",2,1,"30","kgs","","wide grip","05/01/2021, 10:56:06","00:01:13.3",0.65,270,1.09,157,0.417
"bench press",2,2,"30","kgs","","wide grip","05/01/2021, 10:56:06","00:01:13.3",0.77,308,1.33,210,0.402
"bench press",2,3,"30","kgs","","wide grip","05/01/2021, 10:56:06","00:01:13.3",0.64,279,1.03,205,0.438
"bench press",3,1,"40","kgs","","wide grip","05/01/2021, 10:56:06","00:01:58.2",0.59,285,1.05,188,0.485
"bench press",3,2,"40","kgs","","wide grip","05/01/2021, 10:56:06","00:01:58.2",0.58,282,1.00,178,0.49
"bench press",3,3,"40","kgs","","wide grip","05/01/2021, 10:56:06","00:01:58.2",0.48,290,0.92,218,0.607
"bench press",4,1,"50","kgs","","wide grip","05/01/2021, 10:56:06","00:00:57.5",0.39,294,0.90,218,0.748
"bench press",4,2,"50","kgs","","wide grip","05/01/2021, 10:56:06","00:00:57.5",0.46,285,0.77,183,0.626
"bench press",5,1,"60","kgs","","wide grip","05/01/2021, 10:56:06","00:01:20.0",0.44,285,0.72,217,0.643
"bench press",6,1,"70","kgs","","wide grip","05/01/2021, 10:56:06","00:01:17.1",0.29,265,0.50,183,0.922
"bench press",7,1,"80","kgs","","wide grip","05/01/2021, 10:56:06","00:03:12.8",0.20,267,0.30,211,1.332
"bench press",8,1,"85","kgs","","wide grip","05/01/2021, 10:56:06","00:05:05.1",0.11,260,0.19,231,2.285
"bench press",9,1,"65","kgs","","wide grip","05/01/2021, 10:56:06","00:02:14.1",0.34,264,0.60,204,0.768
"bench press",9,2,"65","kgs","","wide grip","05/01/2021, 10:56:06","00:02:14.1",0.27,267,0.50,213,0.977
"bench press",9,3,"65","kgs","","wide grip","05/01/2021, 10:56:06","00:02:14.1",0.26,265,0.41,186,1.03
"bench press",9,4,"65","kgs","","wide grip","05/01/2021, 10:56:06","00:02:14.1",0.22,262,0.32,159,1.187
"bench press",9,5,"65","kgs","","wide grip","05/01/2021, 10:56:06","00:02:14.1",0.21,254,0.29,98,1.227
"bench press",9,6,"65","kgs","","wide grip","05/01/2021, 10:56:06","00:02:14.1",0.19,271,0.29,243,1.444
"bench press",10,1,"65","kgs","","wide grip","05/01/2021, 10:56:06","00:00:38.8",0.25,250,0.39,205,0.989
"bench press",10,2,"65","kgs","","wide grip","05/01/2021, 10:56:06","00:00:38.8",0.21,249,0.27,207,1.208
"bench press",10,3,"65","kgs","","wide grip","05/01/2021, 10:56:06","00:00:38.8",0.18,259,0.27,183,1.425
"bench press",10,4,"65","kgs","","wide grip","05/01/2021, 10:56:06","00:00:38.8",0.17,260,0.24,227,1.513
"bench press",11,1,"65","kgs","","wide grip","05/01/2021, 10:56:06","00:00:44.5",0.26,261,0.36,215,1.019
"bench press",11,2,"65","kgs","","wide grip","05/01/2021, 10:56:06","00:00:44.5",0.20,257,0.26,159,1.275
"bench press",11,3,"65","kgs","","wide grip","05/01/2021, 10:56:06","00:00:44.5",0.15,263,0.22,65,1.8
"bench press",12,1,"65","kgs","","wide grip","05/01/2021, 10:56:06","00:00:52.6",0.23,267,0.39,209,1.153
"bench press",12,2,"65","kgs","","wide grip","05/01/2021, 10:56:06","00:00:52.6",0.18,257,0.28,87,1.395
"bench press",13,1,"65","kgs","","wide grip","05/01/2021, 10:56:06","00:01:42.6",0.26,251,0.36,201,0.983
"bench press",14,1,"65","kgs","","wide grip","05/01/2021, 10:56:06","00:00:44.7",0.24,258,0.33,188,1.094
"bench press",15,1,"65","kgs","","wide grip","05/01/2021, 10:56:06","00:00:45.5",0.21,263,0.27,239,1.234
"deadlift",1,1,"60","kgs","","conventional","07/01/2021, 11:20:07","00:00:00",0.53,569,1.39,372,1.07
"deadlift",1,2,"60","kgs","","conventional","07/01/2021, 11:20:07","00:00:00",0.55,566,1.63,367,1.026
"deadlift",1,3,"60","kgs","","conventional","07/01/2021, 11:20:07","00:00:00",0.49,575,1.53,372,1.164
"deadlift",2,1,"80","kgs","","conventional","07/01/2021, 11:20:07","00:00:54.1",0.48,555,1.23,362,1.152
"deadlift",2,2,"80","kgs","","conventional","07/01/2021, 11:20:07","00:00:54.1",0.58,566,1.29,406,0.968
"deadlift",2,3,"80","kgs","","conventional","07/01/2021, 11:20:07","00:00:54.1",0.51,563,1.17,337,1.108
"deadlift",3,1,"100","kgs","","conventional","07/01/2021, 11:20:07","00:01:33.4",0.28,553,1.06,345,1.98
"deadlift",3,2,"100","kgs","","conventional","07/01/2021, 11:20:07","00:01:33.4",0.36,552,1.04,341,1.54
"deadlift",4,1,"120","kgs","","conventional,hook grip","07/01/2021, 11:20:07","00:01:57.6",0.41,542,0.90,337,1.317
"deadlift",5,1,"130","kgs","","conventional,hook grip","07/01/2021, 11:20:07","00:01:06.0",0.25,527,0.76,336,2.087
"deadlift",6,1,"150","kgs","","conventional,hook grip","07/01/2021, 11:20:07","00:05:58.8",0.18,507,0.51,349,2.866
"deadlift",7,1,"155","kgs","","conventional,hook grip","07/01/2021, 11:20:07","00:12:01.6",0.13,483,0.37,350,3.861
"deadlift",8,1,"115","kgs","","conventional,straps","07/01/2021, 11:20:07","00:04:12.8",0.34,525,0.82,346,1.529
"deadlift",8,2,"115","kgs","","conventional,straps","07/01/2021, 11:20:07","00:04:12.8",0.40,520,0.96,355,1.296
"deadlift",8,3,"115","kgs","","conventional,straps","07/01/2021, 11:20:07","00:04:12.8",0.41,515,0.92,343,1.241
"deadlift",8,4,"115","kgs","","conventional,straps","07/01/2021, 11:20:07","00:04:12.8",0.39,510,0.83,343,1.318
"deadlift",8,5,"115","kgs","","conventional,straps","07/01/2021, 11:20:07","00:04:12.8",0.36,513,0.80,338,1.436
"deadlift",8,6,"115","kgs","","conventional,straps","07/01/2021, 11:20:07","00:04:12.8",0.27,520,0.83,347,1.923
"deadlift",9,1,"115","kgs","","conventional,straps","07/01/2021, 11:20:07","00:00:43.4",0.27,508,0.77,407,1.877
"deadlift",9,2,"115","kgs","","conventional,straps","07/01/2021, 11:20:07","00:00:43.4",0.34,517,0.86,347,1.514
"deadlift",9,3,"115","kgs","","conventional,straps","07/01/2021, 11:20:07","00:00:43.4",0.33,509,0.78,348,1.565
"deadlift",9,4,"115","kgs","","conventional,straps","07/01/2021, 11:20:07","00:00:43.4",0.23,506,0.76,338,2.171
"deadlift",9,5,"115","kgs","","conventional,straps","07/01/2021, 11:20:07","00:00:43.4",0.24,517,0.67,365,2.187
"deadlift",9,6,"115","kgs","","conventional,straps","07/01/2021, 11:20:07","00:00:43.4",0.30,507,0.64,350,1.661
"deadlift",1,1,"115","kgs","","conventional,straps","07/01/2021, 11:50:22","00:00:00",0.24,513,0.70,355,2.138
"deadlift",1,2,"115","kgs","","conventional,straps","07/01/2021, 11:50:22","00:00:00",0.30,513,0.72,360,1.722
"deadlift",1,3,"115","kgs","","conventional,straps","07/01/2021, 11:50:22","00:00:00",0.23,502,0.64,352,2.208
"deadlift",1,4,"115","kgs","","conventional,straps","07/01/2021, 11:50:22","00:00:00",0.25,489,0.56,333,1.935
"deadlift",1,5,"115","kgs","","conventional,straps","07/01/2021, 11:50:22","00:00:00",0.18,506,0.47,351,2.739
"deadlift",2,1,"115","kgs","","conventional,straps","07/01/2021, 11:50:22","00:00:51.6",0.19,497,0.67,335,2.623
"deadlift",2,2,"115","kgs","","conventional,straps","07/01/2021, 11:50:22","00:00:51.6",0.31,506,0.75,346,1.617
"deadlift",2,3,"115","kgs","","conventional,straps","07/01/2021, 11:50:22","00:00:51.6",0.26,499,0.59,350,1.887
"deadlift",2,4,"115","kgs","","conventional,straps","07/01/2021, 11:50:22","00:00:51.6",0.24,499,0.57,349,2.072
"deadlift",3,1,"115","kgs","","conventional,straps","07/01/2021, 11:50:22","00:00:52.2",0.32,502,0.73,346,1.594
"deadlift",3,2,"115","kgs","","conventional,straps","07/01/2021, 11:50:22","00:00:52.2",0.28,518,0.68,352,1.823
"deadlift",3,3,"115","kgs","","conventional,straps","07/01/2021, 11:50:22","00:00:52.2",0.21,497,0.51,360,2.38
"deadlift",4,1,"115","kgs","","conventional,straps","07/01/2021, 11:50:22","00:00:42.5",0.25,505,0.73,350,2.05
"deadlift",4,2,"115","kgs","","conventional,straps","07/01/2021, 11:50:22","00:00:42.5",0.24,503,0.60,362,2.081
"deadlift",5,1,"115","kgs","","conventional,straps","07/01/2021, 11:50:22","00:00:38.0",0.31,503,0.69,347,1.625
"deadlift",5,2,"115","kgs","","conventional,straps","07/01/2021, 11:50:22","00:00:38.0",0.26,501,0.58,355,1.945
"deadlift",6,1,"115","kgs","","conventional,straps","07/01/2021, 11:50:22","00:00:42.5",0.25,496,0.64,349,1.97
"deadlift",6,2,"115","kgs","","conventional,straps","07/01/2021, 11:50:22","00:00:42.5",0.21,488,0.57,339,2.335
"deadlift",7,1,"115","kgs","","conventional,straps","07/01/2021, 11:50:22","00:00:43.6",0.21,518,0.65,351,2.485
"overhead press",1,1,"20","kgs","","","07/01/2021, 11:50:22","00:06:38.5",0.87,647,1.83,424,0.741
"overhead press",1,2,"20","kgs","","","07/01/2021, 11:50:22","00:06:38.5",0.92,623,1.63,262,0.678
"overhead press",1,3,"20","kgs","","","07/01/2021, 11:50:22","00:06:38.5",0.71,647,1.64,288,0.915
"overhead press",2,1,"25","kgs","","","07/01/2021, 11:50:22","00:00:41.7",1.07,637,1.58,450,0.594
"overhead press",2,2,"25","kgs","","","07/01/2021, 11:50:22","00:00:41.7",0.71,621,1.36,310,0.878
"overhead press",2,3,"25","kgs","","","07/01/2021, 11:50:22","00:00:41.7",0.72,647,1.43,269,0.893
"overhead press",3,1,"30","kgs","","","07/01/2021, 11:50:22","00:01:08.1",0.97,625,1.31,472,0.643
"overhead press",3,2,"30","kgs","","","07/01/2021, 11:50:22","00:01:08.1",0.88,634,1.25,213,0.722
"overhead press",4,1,"35","kgs","","","07/01/2021, 11:50:22","00:01:02.0",0.83,629,1.10,204,0.759
"overhead press",5,1,"40","kgs","","","07/01/2021, 11:50:22","00:01:03.0",0.68,649,1.00,173,0.96
"overhead press",6,1,"45","kgs","","","07/01/2021, 11:50:22","00:00:48.9",0.54,638,0.80,142,1.18
"overhead press",7,1,"50","kgs","","","07/01/2021, 11:50:22","00:01:10.7",0.24,587,0.68,135,2.427
"overhead press",8,1,"40","kgs","","","07/01/2021, 11:50:22","00:03:31.2",0.74,631,0.98,177,0.849
"overhead press",8,2,"40","kgs","","","07/01/2021, 11:50:22","00:03:31.2",0.59,603,0.88,187,1.03
"overhead press",8,3,"40","kgs","","","07/01/2021, 11:50:22","00:03:31.2",0.55,617,0.87,168,1.127
"overhead press",8,4,"40","kgs","","","07/01/2021, 11:50:22","00:03:31.2",0.51,615,0.77,152,1.196
"overhead press",8,5,"40","kgs","","","07/01/2021, 11:50:22","00:03:31.2",0.46,594,0.79,146,1.289
"overhead press",8,6,"40","kgs","","","07/01/2021, 11:50:22","00:03:31.2",0.36,596,0.72,151,1.642
"overhead press",9,1,"40","kgs","","","07/01/2021, 11:50:22","00:00:56.0",0.48,606,0.90,153,1.261
"overhead press",9,2,"40","kgs","","","07/01/2021, 11:50:22","00:00:56.0",0.52,619,0.86,148,1.192
"overhead press",9,3,"40","kgs","","","07/01/2021, 11:50:22","00:00:56.0",0.46,631,0.80,148,1.381
"overhead press",9,4,"40","kgs","","","07/01/2021, 11:50:22","00:00:56.0",0.35,610,0.73,159,1.736
"overhead press",9,5,"40","kgs","","","07/01/2021, 11:50:22","00:00:56.0",0.31,591,0.66,136,1.904
"overhead press",10,1,"40","kgs","","","07/01/2021, 11:50:22","00:00:44.9",0.44,612,0.76,126,1.395
"overhead press",10,2,"40","kgs","","","07/01/2021, 11:50:22","00:00:44.9",0.33,603,0.74,158,1.844
"overhead press",10,3,"40","kgs","","","07/01/2021, 11:50:22","00:00:44.9",0.27,612,0.64,147,2.256
"overhead press",11,1,"40","kgs","","","07/01/2021, 11:50:22","00:00:41.1",0.39,601,0.70,117,1.529
"overhead press",11,2,"40","kgs","","","07/01/2021, 11:50:22","00:00:41.1",0.24,614,0.71,147,2.534
"overhead press",12,1,"40","kgs","","","07/01/2021, 11:50:22","00:00:44.9",0.33,616,0.71,121,1.877
"squat",1,1,"20","kgs","","high bar","08/01/2021, 12:28:25","00:00:00",1.06,642,1.70,420,0.608
"squat",1,2,"20","kgs","","high bar","08/01/2021, 12:28:25","00:00:00",1.02,637,1.63,415,0.627
"squat",1,3,"20","kgs","","high bar","08/01/2021, 12:28:25","00:00:00",1.07,673,1.73,486,0.629
"squat",2,1,"30","kgs","","high bar","08/01/2021, 12:28:25","00:01:12.7",1.03,656,1.82,427,0.639
"squat",2,2,"30","kgs","","high bar","08/01/2021, 12:28:25","00:01:12.7",1.09,663,1.77,472,0.609
"squat",2,3,"30","kgs","","high bar","08/01/2021, 12:28:25","00:01:12.7",0.95,649,1.34,438,0.682
"squat",3,1,"40","kgs","","high bar","08/01/2021, 12:28:25","00:01:02.9",0.92,619,1.54,441,0.675
"squat",3,2,"40","kgs","","high bar","08/01/2021, 12:28:25","00:01:02.9",0.98,649,1.56,506,0.661
"squat",3,3,"40","kgs","","high bar","08/01/2021, 12:28:25","00:01:02.9",0.95,647,1.51,506,0.68
"squat",4,1,"45","kgs","","high bar","08/01/2021, 12:28:25","00:00:52.0",0.88,637,1.47,492,0.72
"squat",4,2,"45","kgs","","high bar","08/01/2021, 12:28:25","00:00:52.0",0.89,654,1.43,519,0.739
"squat",4,3,"45","kgs","","high bar","08/01/2021, 12:28:25","00:00:52.0",0.89,668,1.44,523,0.752
"squat",5,1,"60","kgs","","high bar","08/01/2021, 12:28:25","00:01:25.5",0.80,628,1.38,504,0.783
"squat",5,2,"60","kgs","","high bar","08/01/2021, 12:28:25","00:01:25.5",0.82,669,1.34,539,0.813
"squat",6,1,"70","kgs","","high bar","08/01/2021, 12:28:25","00:00:50.4",0.73,621,1.27,504,0.851
"squat",6,2,"70","kgs","","high bar","08/01/2021, 12:28:25","00:00:50.4",0.71,663,1.20,547,0.934
"squat",7,1,"80","kgs","","high bar","08/01/2021, 12:28:25","00:00:58.2",0.67,635,1.25,526,0.951
"squat",7,2,"80","kgs","","high bar","08/01/2021, 12:28:25","00:00:58.2",0.64,667,1.22,569,1.045
"squat",8,1,"90","kgs","","high bar","08/01/2021, 12:28:25","00:01:05.1",0.60,666,1.18,560,1.104
"squat",8,2,"90","kgs","","high bar","08/01/2021, 12:28:25","00:01:05.1",0.51,643,1.08,551,1.252
"squat",9,1,"100","kgs","","high bar","08/01/2021, 12:28:25","00:01:42.8",0.51,658,1.13,570,1.282
"squat",10,1,"110","kgs","","high bar","08/01/2021, 12:28:25","00:01:19.4",0.38,654,1.05,574,1.701
"squat",11,1,"120","kgs","","high bar","08/01/2021, 12:28:25","00:01:42.5",0.23,675,0.83,606,2.939
"squat",12,1,"90","kgs","","high bar","08/01/2021, 12:28:25","00:03:16.8",0.52,608,1.09,519,1.18
"squat",12,2,"90","kgs","","high bar","08/01/2021, 12:28:25","00:03:16.8",0.53,639,0.95,555,1.204
"squat",12,3,"90","kgs","","high bar","08/01/2021, 12:28:25","00:03:16.8",0.47,650,0.88,566,1.389
"squat",12,4,"90","kgs","","high bar","08/01/2021, 12:28:25","00:03:16.8",0.48,659,0.87,569,1.364
"squat",12,5,"90","kgs","","high bar","08/01/2021, 12:28:25","00:03:16.8",0.40,634,0.75,550,1.575
"squat",12,6,"90","kgs","","high bar","08/01/2021, 12:28:25","00:03:16.8",0.35,661,0.81,600,1.876
null,1,1,null,"kgs","","","08/01/2021, 12:28:25","00:00:50.6",0.47,616,1.02,524,1.308
null,1,2,null,"kgs","","","08/01/2021, 12:28:25","00:00:50.6",0.40,628,0.82,538,1.573
null,1,3,null,"kgs","","","08/01/2021, 12:28:25","00:00:50.6",0.31,638,0.67,562,2.064
"squat",1,1,"90","kgs","","high bar","08/01/2021, 12:28:25","00:00:48.7",0.48,624,0.99,542,1.297
"squat",1,2,"90","kgs","","high bar","08/01/2021, 12:28:25","00:00:48.7",0.38,653,0.97,571,1.713
"squat",2,1,"90","kgs","","high bar","08/01/2021, 12:28:25","00:00:54.3",0.42,651,0.99,576,1.536
